,Bayesian CNN,Classical CNN,epoch
0,17.555840457385827,20.720048738277082,1
1,20.068069688476825,22.624276016806213,2
2,21.140486841636232,23.370699421156157,3
3,21.809356877207904,23.79401274840758,4
4,22.163358274605173,22.8467832998243,5
5,22.56478934032382,23.942517755326918,6
6,22.805466299918326,24.11467483512103,7
7,23.03210742090983,24.19462717126678,8
8,23.135614129456737,24.22653195708364,9
9,23.427232051913883,24.259850019081156,10
10,23.4656685612728,24.31760809446523,11
11,23.603727445149048,24.358397321781517,12
12,23.691793989585925,24.382297577504776,13
13,23.73283956705936,24.38395765665077,14
14,23.803099043430755,24.334599892822396,15
15,23.8460232844248,24.361198597440385,16
16,23.885942078371908,24.422555022114267,17
17,23.935938037473132,24.458713091702005,18
18,23.983637741028293,24.47424307266036,19
19,24.02908168820565,24.464264769655713,20
20,24.059833012995504,24.44841635287174,21
21,24.06825428861464,24.46021485274941,22
22,24.122153965308662,24.505392451516407,23
23,23.70751379683537,24.47543253491021,24
24,24.16627823601256,24.464907000804214,25
25,24.20338658474275,24.52380422566781,26
26,24.20647448420251,24.4598644236236,27
27,24.18886668898596,24.058852494784336,28
28,24.23389115822245,24.51491871824349,29
29,24.27730913245107,23.4367640451585,30
30,24.232333271083103,24.48706295030283,31
31,24.27162565005264,24.47629721039137,32
32,24.31628978715552,24.548921733385516,33
33,24.335001815175158,24.5637133027985,34
34,24.342397511921675,24.573850536604787,35
35,24.35105944286299,24.506674105617094,36
36,24.37860296179245,24.52100521903216,37
37,24.388388379858963,24.56787194083258,38
38,24.400067038506798,24.586010372503253,39
39,24.41440857350876,24.557571315881574,40
40,24.41467682982298,24.024498363795566,41
41,24.429554642289123,24.53896495074887,42
42,24.316718705407034,24.6079561967286,43
43,24.43638890838802,24.612339632574958,44
44,24.454886922899522,24.616125351781072,45
45,24.478181898163456,24.600276857027367,46
46,24.482191564133586,24.603075493595732,47
47,24.497738088843807,24.6090563167158,48
48,24.361241657146472,24.630733857559036,49
49,24.504624667612443,23.931620930151283,50
50,24.505323684956434,24.52819070016473,51
51,24.522508626533764,24.62306459797261,52
52,24.536820607372526,24.6317448764064,53
53,24.496078938356018,24.619564880553938,54
54,24.551354084600966,24.634388971830603,55
55,24.559775917737916,24.65651714731375,56
56,24.570670622023503,24.66215316002959,57
57,24.570681339530417,24.663167673869168,58
58,24.559848730284948,24.650798446217863,59
59,24.57803601670196,24.644722776300043,60
60,24.599709647678143,24.62601819455809,61
61,24.55225823902286,24.462711596091324,62
62,24.59494772028284,24.653887009077152,63
63,24.56456652167775,24.295292436158125,64
64,24.46438433278483,24.567798704177022,65
65,24.612904984056506,24.670464120993824,66
66,24.580356124671532,24.657307533733817,67
67,24.611579902055528,24.70021298306241,68
68,24.587651028641865,24.686822698637442,69
69,24.62738760154366,24.658310275718563,70
70,24.640150844746948,24.69104885131076,71
71,24.645626836364166,24.67023323543208,72
72,24.658955250111166,24.676922625485368,73
73,24.655640060650462,24.700985692886306,74
74,24.653501113817576,24.707316403276806,75
75,24.66477291824891,24.71248632472758,76
76,24.66572794130235,24.663852730485566,77
77,24.674837258980435,24.693050549928735,78
78,24.664203438433915,24.71004461311271,79
79,24.68090561709657,24.712862531986005,80
80,24.66459679775223,24.711631375006974,81
81,24.673239561178562,24.714366788774278,82
82,24.683776336243113,24.61561489621615,83
83,24.658899084463958,24.718906665326013,84
84,24.661240625499794,24.623654804753414,85
85,24.70525463837116,24.69403893094345,86
86,24.68097959773211,24.70846470974625,87
87,24.699559764002075,24.738291065697368,88
88,24.676234910701993,24.736947039243603,89
89,24.678386274053633,24.727476605131947,90
90,24.718999579389983,24.73337813227872,91
91,24.695649070158744,24.737868999601844,92
92,24.359714402673998,24.742240665412176,93
93,24.69127935709139,24.5987005189808,94
94,24.703160703203736,24.74529304857905,95
95,24.733065094076473,24.7439625293524,96
96,24.707262597871743,24.750327866129673,97
97,24.735746346147096,24.753328540332223,98
98,24.73374322166235,24.7447970335265,99
99,24.742938310263938,24.69475689225247,100
