,Bayesian CNN,Classical CNN
0,7.308318138122559,8.515432834625244
1,9.598212718963623,8.568812847137451
2,7.924980878829956,8.500746011734009
3,7.8996782302856445,8.5487539768219
4,8.07779312133789,8.586418151855469
5,7.841017246246338,8.696327924728394
6,7.786366701126099,8.69157338142395
7,7.832914352416992,8.665868997573853
8,7.801222562789917,8.703962326049805
9,7.7392578125,8.553398370742798
10,8.415720701217651,8.55625605583191
11,8.936846733093262,5.989900588989258
12,8.634381771087646,5.980137586593628
13,7.428709506988525,5.982707738876343
14,10.178002119064331,5.9680445194244385
15,7.047258377075195,5.575263977050781
16,6.725614547729492,4.843268871307373
17,6.623792886734009,4.943765878677368
18,6.613539934158325,4.973236322402954
19,6.58545446395874,5.04087495803833
20,6.6696531772613525,5.0902392864227295
21,6.615442276000977,5.15860652923584
22,6.662566184997559,4.93927264213562
23,6.662965536117554,4.998946666717529
24,6.769942998886108,4.9400036334991455
25,6.616642475128174,5.015430450439453
26,6.549031972885132,4.86444354057312
27,6.7167558670043945,5.025386095046997
28,6.698797941207886,5.577114582061768
29,6.62726354598999,4.954343557357788
30,6.733550310134888,4.978718996047974
31,6.640129804611206,4.993718862533569
32,6.598028898239136,4.873310565948486
33,6.58364725112915,4.951437950134277
34,7.013941287994385,4.980888605117798
35,6.8116614818573,5.1940836906433105
36,6.731715202331543,4.8535072803497314
37,7.03835654258728,4.948624134063721
38,6.775539875030518,5.094544887542725
39,11.58496904373169,5.0072057247161865
40,16.302162885665894,4.935879230499268
41,19.0258309841156,5.046727418899536
42,15.84775424003601,4.8488686084747314
43,7.126268148422241,4.93546462059021
44,6.681961536407471,4.97994327545166
45,6.6305577754974365,5.317046880722046
46,6.608642578125,5.7174224853515625
47,6.614814043045044,5.986566543579102
48,6.826135158538818,5.845494985580444
49,6.663356065750122,6.55298113822937
50,6.690392971038818,5.913352966308594
51,6.545129060745239,5.515629529953003
52,6.593793630599976,5.194619655609131
53,7.0199902057647705,5.304769039154053
54,6.6406614780426025,5.262940168380737
55,6.5939836502075195,5.070674896240234
56,6.586874008178711,5.153699159622192
57,6.565324306488037,5.182782888412476
58,6.58124041557312,5.100367307662964
59,6.638124465942383,5.106715440750122
60,6.5796191692352295,5.214691877365112
61,6.583471298217773,5.361181974411011
62,6.899193048477173,5.3927693367004395
63,6.689411640167236,5.112876892089844
64,6.583453893661499,5.184927225112915
65,6.656412839889526,4.954168319702148
66,6.691317319869995,4.862021446228027
67,6.887986421585083,4.978149175643921
68,6.594359636306763,5.015251636505127
69,6.59273886680603,5.091391563415527
70,6.569517135620117,4.830473899841309
71,6.607933044433594,4.936061859130859
72,6.652622699737549,4.952723741531372
73,6.586475133895874,5.082573890686035
74,6.60152530670166,4.897610425949097
75,6.570996284484863,4.962832689285278
76,6.616532325744629,4.8954551219940186
77,6.5964319705963135,5.056179046630859
78,6.9631102085113525,5.378789186477661
79,7.0887885093688965,4.855370044708252
80,7.521258115768433,5.034050703048706
81,8.777974367141724,5.099367141723633
82,14.02012300491333,4.821849346160889
83,10.719796419143677,4.94359278678894
84,10.08468770980835,5.084618091583252
85,9.986968517303467,7.6196205615997314
86,12.088364124298096,6.416285514831543
87,9.94520878791809,6.318272590637207
88,11.159165620803833,6.327615261077881
89,10.799117088317871,6.319582462310791
90,12.820806503295898,6.612729787826538
91,16.41820788383484,6.194456577301025
92,17.886268138885498,7.843739748001099
93,16.005444765090942,7.647959232330322
94,14.67878007888794,6.659008502960205
95,14.362798690795898,6.086223125457764
96,14.949904918670654,6.559772253036499
97,14.2591392993927,6.582620143890381
98,11.569206476211548,6.615025758743286
99,11.198931455612183,6.404398679733276
